date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:27	16219/16219	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:24%20GMT	http://nehe.gamedev.net/tutorial/simpleglxwindow_class/35003/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/tutorial/simpleglxwindow_class/35003/index.html	(from http://nehe.gamedev.net/)
21:33:29	357370/357370	---M-Z	200	added ('OK')	application/javascript	etag:%225c3f5bdd-573fa%22	http://s7.addthis.com/js/250/addthis_widget.js	C:/My%20Web%20Sites/Nehe/s7.addthis.com/js/250/addthis_widget.js	(from http://nehe.gamedev.net/)
21:33:29	6905/6905	---M-Z	404	error ('Not%20Found')	text/html	etag:%225c0bb56ffeb60e381c6943d2f4c2c2cf;gzip%22	https://www.livefyre.com/wjs/javascripts/livefyre.js	C:/My%20Web%20Sites/Nehe/www.livefyre.com/wjs/javascripts/livefyre.d.delayed	(from http://nehe.gamedev.net/news/how_i_made_mario_kart_7_engine_in_opengl_over_the_weekend/5660980839186432/)
21:33:29	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Jan%202019%2002:33:28%20GMT	http://api.flattr.com/js/0.6/load.js?mode=auto&uid=kazade	C:/My%20Web%20Sites/Nehe/api.flattr.com/js/0.6/load.f4dcd.delayed	(from http://nehe.gamedev.net/news/fallout_software_tutorials_updated/5730082031140864/)
21:33:29	43877/43877	---MC-	200	added ('OK')	application/javascript	date:Sat,%2026%20Jan%202019%2002:33:28%20GMT	https://apis.google.com/js/plusone.js	C:/My%20Web%20Sites/Nehe/apis.google.com/js/plusone.js	(from http://nehe.gamedev.net/news/how_i_made_mario_kart_7_engine_in_opengl_over_the_weekend/5660980839186432/)
21:33:30	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Jan%202019%2002:33:29%20GMT	https://api.flattr.com/js/0.6/load.js?mode=auto&uid=kazade	C:/My%20Web%20Sites/Nehe/api.flattr.com/js/0.6/load.104dcd.delayed	(from http://nehe.gamedev.net/news/fallout_software_tutorials_updated/5730082031140864/)
21:33:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Jan%202019%2002:33:29%20GMT	http://i.creativecommons.org/l/by-nc/3.0/88x31.png	C:/My%20Web%20Sites/Nehe/i.creativecommons.org/l/by-nc/3.0/88x31.12.delayed	(from http://nehe.gamedev.net/news/fallout_software_tutorials_updated/5730082031140864/)
21:33:31	7169/7169	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c0a780e-1c01%22	https://button.flattr.com/loader.js?mode=auto&uid=kazade	C:/My%20Web%20Sites/Nehe/button.flattr.com/loader4dcd.js	(from http://nehe.gamedev.net/news/fallout_software_tutorials_updated/5730082031140864/)
21:33:31	1709/1709	---M--	200	added ('OK')	image/png	etag:%221419-4f0c8c2319f40%22	https://licensebuttons.net/l/by-nc/3.0/88x31.png	C:/My%20Web%20Sites/Nehe/licensebuttons.net/l/by-nc/3.0/88x31.png	(from http://nehe.gamedev.net/news/fallout_software_tutorials_updated/5730082031140864/)
21:33:31	7750/7750	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:30%20GMT	http://nehe.gamedev.net/news/kazmath_moved_to_github_loads_of_fixes/84001/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/kazmath_moved_to_github_loads_of_fixes/84001/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:31	7638/7638	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:30%20GMT	http://nehe.gamedev.net/news/0_ad_hits_alpha_9/81001/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/0_ad_hits_alpha_9/81001/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:31	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Jan%202019%2002:33:30%20GMT	http://api.flattr.com/js/0.6/load.js?mode=auto&uid=cars10	C:/My%20Web%20Sites/Nehe/api.flattr.com/js/0.6/loada0da.js	(from http://nehe.gamedev.net/tutorial/ios_lesson_01__setting_up_gl_es/44001/)
21:33:31	7398/7398	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:30%20GMT	http://nehe.gamedev.net/news/good_opengl_es_resource_for_android/71004/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/good_opengl_es_resource_for_android/71004/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:32	8411/8411	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:31%20GMT	http://nehe.gamedev.net/news/compile_problems_in_win7_with_visual_studio_2010/68001/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/compile_problems_in_win7_with_visual_studio_2010/68001/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:32	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Jan%202019%2002:33:31%20GMT	https://api.flattr.com/js/0.6/load.js?mode=auto&uid=cars10	C:/My%20Web%20Sites/Nehe/api.flattr.com/js/0.6/load.15a0da.delayed	(from http://nehe.gamedev.net/tutorial/ios_lesson_01__setting_up_gl_es/44001/)
21:33:32	8229/8229	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:31%20GMT	http://nehe.gamedev.net/news/the_open_source_amd_r600_driver_supports_opengl_30/66001/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/the_open_source_amd_r600_driver_supports_opengl_30/66001/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.lucidchart.com/publicSegments/view/4e66b4aa-8a30-4b14-9360-0d6c0adcefe5/image.png	C:/My%20Web%20Sites/Nehe/www.lucidchart.com/publicSegments/view/4e66b4aa-8a30-4b14-9360-0d6c0adcefe5/image.17.delayed	(from http://nehe.gamedev.net/tutorial/ios_lesson_01__setting_up_gl_es/44001/)
21:33:33	8244/8244	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:31%20GMT	http://nehe.gamedev.net/news/mesa_80_to_support_opengl_30_/58002/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/mesa_80_to_support_opengl_30_/58002/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:33	7169/7169	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c0a780e-1c01%22	https://button.flattr.com/loader.js?mode=auto&uid=cars10	C:/My%20Web%20Sites/Nehe/button.flattr.com/loadera0da.js	(from http://nehe.gamedev.net/tutorial/ios_lesson_01__setting_up_gl_es/44001/)
21:33:33	6884/6884	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:32%20GMT	http://nehe.gamedev.net/news/the_wine_project_prepares_version_14/62008/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/the_wine_project_prepares_version_14/62008/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:33	5977/5977	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:32%20GMT	http://nehe.gamedev.net/news/we_now_have_a_facebook_page/63007/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/we_now_have_a_facebook_page/63007/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:34	7466/7466	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:32%20GMT	http://nehe.gamedev.net/news/first_prep_lesson_online/57007/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/first_prep_lesson_online/57007/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:34	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Sat,%2026%20Jan%202019%2002:33:33%20GMT	http://upload.wikimedia.org/wikipedia/commons/0/03/RGB_farbwuerfel.jpg	C:/My%20Web%20Sites/Nehe/upload.wikimedia.org/wikipedia/commons/0/03/RGB_farbwuerfel.19.delayed	(from http://nehe.gamedev.net/tutorial/ios_lesson_01__setting_up_gl_es/44001/)
21:33:34	6837/6837	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:33%20GMT	http://nehe.gamedev.net/news/rasberry_pi_has_a_faster_gpu_than_an_iphone4s_/60004/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/rasberry_pi_has_a_faster_gpu_than_an_iphone4s_/60004/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:34	23829/23829	---M--	200	added ('OK')	image/png	etag:5525221633298b848ebc5aacc9600178	https://www.lucidchart.com/publicSegments/view/4e66b4aa-8a30-4b14-9360-0d6c0adcefe5/image.png	C:/My%20Web%20Sites/Nehe/www.lucidchart.com/publicSegments/view/4e66b4aa-8a30-4b14-9360-0d6c0adcefe5/image.png	(from http://nehe.gamedev.net/tutorial/ios_lesson_01__setting_up_gl_es/44001/)
21:33:34	6496/6496	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:33%20GMT	http://nehe.gamedev.net/news/desura_client_open_sourced/63001/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/desura_client_open_sourced/63001/index.html	(from http://nehe.gamedev.net/?page=1)
21:33:34	36644/36644	---M--	200	added ('OK')	image/jpeg	etag:93d669f60a2d494337d91b4e8ed2d880	https://upload.wikimedia.org/wikipedia/commons/0/03/RGB_farbwuerfel.jpg	C:/My%20Web%20Sites/Nehe/upload.wikimedia.org/wikipedia/commons/0/03/RGB_farbwuerfel.jpg	(from http://nehe.gamedev.net/tutorial/ios_lesson_01__setting_up_gl_es/44001/)
21:33:36	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Sat,%2026%20Jan%202019%2002:33:33%20GMT	http://en.wikipedia.org/wiki/File:RGB_farbwuerfel.jpg	C:/My%20Web%20Sites/Nehe/en.wikipedia.org/wiki/File_RGB_farbwuerfel.1b.delayed	(from http://nehe.gamedev.net/tutorial/ios_lesson_01__setting_up_gl_es/44001/)
21:33:36	32941/32941	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:35%20GMT	http://nehe.gamedev.net/?page=2	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/index4658.html	(from http://nehe.gamedev.net/?page=1)
21:33:36	1596/1596	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jan%202019%2002:33:35%20GMT	http://nehe.googlecode.com/git/lessons/ios/images/Lesson02.png	C:/My%20Web%20Sites/Nehe/nehe.googlecode.com/git/lessons/ios/images/Lesson02.1d.delayed	(from http://nehe.gamedev.net/tutorial/ios_lesson_02__first_triangle/50001/)
